0=>594	-0.666667:-0.5:1.0
112=>594	0.330435:0.0:0.831169
131=>594	-0.333333:-0.5:0.836957
156=>594	-0.449275:-0.5:0.836957
176=>594	0.267442:0.0:0.400871
184=>594	0.322176:0.0:0.482759
221=>594	0.104603:0.0:0.576802
222=>594	0.054217:0.0:0.696833
238=>594	0.330435:0.0:0.831169
239=>594	-0.226087:-0.084416:0.831169
273=>594	0.644351:0.0:0.482759
283=>594	0.138075:0.0:0.401254
293=>594	0.26087:0.0:0.695652
326=>594	0.296482:0.0:0.483019
331=>594	0.333333:-0.5:0.836957
338=>594	0.256281:0.0:0.69434
367=>594	0.210843:0.289593:0.579186
392=>594	0.372881:0.0:0.28
396=>594	0.105528:0.0:0.581132
419=>594	-0.174699:0.0:0.579186
458=>594	0.535565:0.0:0.401254
467=>594	0.10241:0.0:0.579186
477=>594	0.405858:0.200627:0.401254
485=>594	-0.226087:0.0:0.831169
522=>594	0.138075:0.0:0.401254
582=>594	0.138075:0.0:0.401254
604=>594	0.224638:-0.5:0.836957
613=>594	0.0:-0.5:1.0
652=>594	-0.395833:0.0:1.203125
662=>594	0.0:-0.5:1.0
679=>594	-0.226087:-0.5:0.831169
685=>594	0.55814:0.0:0.278867
697=>594	-0.222892:-0.502262:0.832579
732=>594	-0.222892:-0.502262:0.832579
74=>594	-0.226087:-0.5:0.831169
805=>594	0.449275:-0.5:0.836957
807=>594	0.487952:0.0:0.579186
843=>594	0.296482:0.0:0.483019
876=>594	0.330435:-0.5:0.831169
893=>594	-0.025126:0.0:0.483019
898=>594	0.0:-0.5:1.0
90=>594	0.256281:0.0:0.69434
942=>594	0.487952:0.0:0.579186
967=>594	-0.330435:0.0:0.831169
971=>594	0.057971:0.0:0.695652
978=>594	0.105528:0.0:0.581132
991=>594	0.487437:0.0:0.581132
