0=>20	-0.292419:-0.247095:0.842049
51=>652	0.932677:-0.331701:0.795043
58=>423	0.268493:-0.126932:0.551103
74=>20	0.19001866728692157:-0.16903287947373757:0.7454986789763409
80=>594	-0.477646:-0.512139:0.87056
81=>20	0.7059001731316887:-0.052640667636283514:0.7443322818399298
90=>652	0.406802:-0.164289:0.864423
93=>20	0.3548115449987547:-0.2990672846725683:0.5333154139354251
112=>958	0.491534:0.132548:0.767007
124=>958	-1.156986:-0.341252:1.118729
131=>594	-0.476907:-0.362935:0.802261
146=>652	0.320418:-0.680708:1.016033
156=>652	-0.249338:-0.171307:0.70634
160=>20	-0.6716444949870449:-1.1126105482367439:0.8968521386784525
176=>20	0.3338137170161152:0.0427803403813756:0.5572896551993174
184=>423	0.295415:0.03253:0.436469
189=>20	0.12142621434328899:-0.6018187424602252:1.081940785380816
201=>20	0.6308835634951838:0.10694079270689993:0.7678887359937094
207=>958	-0.749221:-0.681726:1.161128
221=>652	0.333475:-0.04009:0.665492
222=>20	0.18997310597306477:0.08133787111769927:0.7360160628145549
227=>20	0.439819483093699:-0.2996553927283766:0.4606433252551849
238=>652	0.547738:-0.080942:1.081336
239=>594	-0.162322:-0.177285:0.967109
247=>594	-0.690851:-0.71434:0.857935
273=>20	0.7112638027215705:-0.2479191559824622:0.8145000557932539
277=>958	-0.264271:-0.400712:1.17435
283=>594	0.31617:-0.131795:0.597296
288=>20	-0.3397876176088106:-0.9708161448140161:0.7565091942344921
290=>958	0.496089:-0.582174:0.837132
293=>652	0.367354:-0.049304:0.789711
300=>652	0.846981:-0.403683:0.646025
306=>20	0.9336534260303264:-1.0238699901522306:0.9645219877254931
326=>20	0.4164490206486781:-0.04466129744534502:0.557590140022036
331=>20	0.6304997854496396:-0.27588386076020965:0.7541313199032601
335=>20	0.5567606749393947:-1.260740705182056:0.9600844874348944
338=>20	0.3342917074376687:-0.1576627624009111:0.9435911759127592
345=>20	1.0737827246150653:-0.7118737267279714:0.8407904439121306
354=>652	0.856098:-0.11953:0.842805
367=>594	-0.218422:0.11509:0.893342
370=>958	0.8147:0.053485:0.438696
380=>423	-0.696926:-0.478855:1.050997
392=>20	0.3176620419903954:-0.03078282741904563:0.39774178126270293
396=>652	0.749324:-0.159639:0.803066
411=>958	-1.018169:-0.502869:1.056728
414=>20	0.6652658256003424:-0.8121392932548998:0.8425267038838796
418=>20	-0.5855977494175018:-0.5749368254844405:1.025976704172955
419=>652	-0.428641:-0.07857:0.785928
435=>652	1.045048:-0.258087:0.82168
440=>423	0.2283181321275713:0.06792397384134098:0.47550823508936946
454=>20	0.5265046280816896:0.06508494441803378:0.607918256879507
456=>423	0.4199103473122575:-0.6897727801891579:0.49017325173582604
458=>958	0.548309:0.104386:0.558412
462=>958	-0.505181:-0.289985:1.127089
465=>20	0.47519564177126655:-0.09815388768235972:0.49079152403038
467=>20	0.16918005334658084:-0.15597994115919833:0.8224881417772159
469=>20	0.4431148047696374:-0.31491839462262144:0.4353447712916244
471=>958	-0.986473:-0.59433:0.931712
477=>20	0.4882178709743172:0.13318321952710965:0.6369751324908276
480=>20	0.5353135632999838:-0.893773138598428:0.7682456419345348
485=>423	-0.18974855732491785:0.13272454643450649:0.7805627389009834
495=>20	0.8168738601963922:-1.0970828203469616:1.0251184780681029
497=>20	0.1637164919582532:-0.17039096550880842:0.4579712879480734
500=>423	-0.5013107964030695:-0.3196423060196681:0.8767868916852546
502=>20	0.7922929283810676:-0.26502419744170436:0.7849940536700435
517=>652	0.636213:-0.137911:0.966245
522=>958	0.472058:0.091237:0.405968
526=>958	0.669461:0.184945:0.652992
552=>423	-0.731161935509557:-1.3178935824444693:0.9048496320881396
553=>20	0.6418801869673125:-0.4421987794988739:0.7221045592959769
562=>20	0.5086155727827041:-0.24678074771605:0.6917916157623336
565=>20	0.5171592945750714:-0.2829573960595565:0.7905869554733521
585=>652	0.415543:-0.822754:1.332447
593=>958	0.557658:-0.255929:0.894854
604=>652	0.291762:-0.56527:0.870733
610=>20	-0.16106016695489095:-0.44388868314924357:0.6795070855601347
613=>958	-0.326923:-0.066747:0.884948
623=>958	-1.570332:-2.010582:1.132434
