0=>20	-0.175879:0.0:0.581132
971=>20	0.26087:0.0:0.695652
978=>20	0.259036:0.0:0.696833
843=>20	0.259036:-0.153846:0.696833
283=>20	0.226481:0.0:0.335079
807=>20	0.443478:0.0:0.831169
90=>20	0.256281:0.0:0.69434
685=>20	0.643216:0.0:0.483019
131=>20	-0.217391:-0.5:0.836957
176=>20	0.296482:0.0:0.483019
485=>20	-0.269565:0.0:1.194805
876=>20	0.270833:-0.5:1.203125
477=>20	0.256281:0.0:0.69434
239=>20	-0.108696:0.0:0.836957
222=>20	0.054217:0.0:0.696833
942=>20	0.643216:0.0:0.483019
522=>20	0.104603:0.0:0.576802
967=>20	-0.217391:0.0:0.836957
293=>20	0.26087:0.0:0.695652
458=>20	0.535565:0.0:0.401254
184=>20	0.259036:0.0:0.696833
112=>20	0.330435:0.0:0.831169
338=>20	0.386935:0.0:0.581132
238=>20	0.395833:0.0:1.203125
679=>20	0.583333:-0.5:1.4375
582=>20	0.104603:0.0:0.576802
732=>20	0.0:-0.5:1.0
893=>20	0.105528:0.0:0.581132
326=>20	0.321608:0.0:0.483019
898=>20	-0.078313:-0.502262:1.443439
652=>20	-0.270833:0.0:1.203125
662=>20	0.318841:0.0:0.695652
697=>20	0.054217:-0.502262:0.696833
396=>20	0.296482:0.0:0.483019
367=>20	0.137681:0.0:1.201087
991=>20	0.487952:0.0:0.579186
604=>20	0.333333:-0.5:0.836957
419=>20	-0.222892:0.0:0.832579
467=>20	0.0:-0.084416:0.831169
74=>20	-0.269565:-0.5:1.194805
331=>20	0.487952:-0.21267:0.579186
613=>20	-0.083333:-0.5:1.4375
221=>20	0.10241:0.0:0.579186
805=>20	0.666667:-0.5:1.0
156=>20	0.135889:0.0:0.403141
273=>20	0.666667:-0.5:1.0
